Titulo1=População Residente - Espírito Santo
Titulo2=População Resident segundo Município
[Mapa]
Nomemapa=c:\tabwin\ES.map
Colunamapa=3
NumClasses=10
IndCor=3
Cor0=16318424
Classe0=19.46
Cor1=15466437
Classe1=25.85
Cor2=14679967
Classe2=29.07
Cor3=13434726
Classe3=30.68
Cor4=12969318
Classe4=33.79
Cor5=12569702
Classe5=40.62
Cor6=12104294
Classe6=46.10
Cor7=11704678
Classe7=52.27
Cor8=10839654
Classe8=59.46
Cor9=10040166
Classe9=3275.84
"MUNICIPIO";"População";"Área";"DD"
"320010 Afonso Cláudio";33090;954,66;34,66
"320016 Água Doce do Norte";12764;484,05;26,37
"320013 Águia Branca";9507;449,63;21,14
"320020 Alegre";32239;772,71;41,72
"320030 Alfredo Chaves";14004;615,59;22,75
"320035 Alto Rio Novo";6752;227,73;29,65
"320040 Anchieta";20897;404,88;51,61
"320050 Apiacá";7864;193,58;40,62
"320060 Aracruz";69584;1436,02;48,46
"320070 Atilio Vivacqua";9001;226,81;39,69
"320080 Baixo Guandu";28099;917,89;30,61
"320090 Barra de São Francisco";38351;933,75;41,07
"320100 Boa Esperança";13995;428,63;32,65
"320110 Bom Jesus do Norte";9736;89,11;109,26
"320115 Brejetuba";12417;342,51;36,25
"320120 Cachoeiro de Itapemirim";187643;876,79;214,01
"320130 Cariacica";344457;279,98;1230,29
"320140 Castelo";34014;668,97;50,85
"320150 Colatina";108004;1423,27;75,88
"320160 Conceição da Barra";28200;1188,04;23,74
"320170 Conceição do Castelo";11063;364,53;30,35
"320180 Divino de São Lourenço";5110;175,79;29,07
"320190 Domingos Martins";32378;1225,33;26,42
"320200 Dores do Rio Preto";6562;153,11;42,86
"320210 Ecoporanga";23798;2283,23;10,42
"320220 Fundão";14146;279,65;50,58
"320225 Governador Lindenberg";9715;359,61;27,02
"320230 Guaçuí";26923;467,76;57,56
"320240 Guarapari";99218;592,23;167,53
"320245 Ibatiba";20688;241,49;85,67
"320250 Ibiraçu";10445;199,82;52,27
"320255 Ibitirama";9842;329,45;29,87
"320260 Iconha";12011;202,92;59,19
"320265 Irupi";10684;184,43;57,93
"320270 Itaguaçu";14945;530,39;28,18
"320280 Itapemirim";30658;557,16;55,03
"320290 Itarana";11846;299,08;39,61
"320300 Iúna";27384;460,52;59,46
"320305 Jaguaré";20547;656,36;31,30
"320310 Jerônimo Monteiro";10712;162,16;66,06
"320313 João Neiva";16043;272,87;58,79
"320316 Laranja da Terra";11054;456,99;24,19
"320320 Linhares";118315;3501,60;33,79
"320330 Mantenópolis";11497;320,75;35,84
"320332 Marataízes";33836;135,40;249,90
"320334 Marechal Floriano";13268;286,10;46,38
"320335 Marilândia";10295;309,45;33,27
"320340 Mimoso do Sul";27074;867,28;31,22
"320350 Montanha";16908;1099,03;15,38
"320360 Mucurici";6099;537,71;11,34
"320370 Muniz Freire";19503;679,92;28,68
"320380 Muqui";13684;326,87;41,86
"320390 Nova Venécia";44437;1448,29;30,68
"320400 Pancas";20157;823,83;24,47
"320405 Pedro Canário";22208;434,04;51,17
"320410 Pinheiros";21320;975,06;21,87
"320420 Piúma";17238;73,50;234,53
"320425 Ponto Belo";6400;356,16;17,97
"320430 Presidente Kennedy";9605;586,46;16,38
"320435 Rio Bananal";16686;645,48;25,85
"320440 Rio Novo do Sul";11786;203,72;57,85
"320450 Santa Leopoldina";13009;716,44;18,16
"320455 Santa Maria de Jetibá";31004;735,55;42,15
"320460 Santa Teresa";20939;694,53;30,15
"320465 São Domingos do Norte";7974;299,49;26,63
"320470 São Gabriel da Palha";27682;432,81;63,96
"320480 São José do Calçado";10591;272,77;38,83
"320490 São Mateus";97313;2343,25;41,53
"320495 São Roque do Canaã";10753;342,40;31,40
"320500 Serra";361328;553,25;653,10
"320501 Sooretama";19922;593,37;33,57
"320503 Vargem Alta";19119;414,74;46,10
"320506 Venda Nova do Imigrante";17840;187,89;94,95
"320510 Viana";57339;311,61;184,01
"320515 Vila Pavão";8419;432,74;19,46
"320517 Vila Valério";14152;464,35;30,48
"320520 Vila Velha";378553;208,82;1812,82
"320530 Vitória";305898;93,38;3275,84
"Total";3298541;53810,17;61,30
