Titulo1=Densidade demográfica (DD) no Rio Grande do Norte
Rodape=Executado em 10/6/2004 as 19:28:25
[Mapa]
Nomemapa=C:\TABWIN\RN.MAP
Colunamapa=5
NumClasses=5
IndCor=3
Cor0=16318424
Classe0=16.96
Cor1=13434726
Classe1=26.47
Cor2=12569702
Classe2=38.27
Cor3=11704678
Classe3=57.35
Cor4=10040166
Classe4=3879.13
"MUNIC";"POPULACAO";"AREA_97";"LONGITUDE";"LATITUDE";"DD"
"240010 Acari";10948;610,26;-36,63;-6,43;17,94
"240020 Açu";45054;1291,88;-36,90;-5,57;34,87
"240030 Afonso Bezerra";9883;558,37;-36,50;-5,49;17,70
"240040 Água Nova";2509;46,83;-38,29;-6,20;53,58
"240050 Alexandria";13585;418,59;-38,01;-6,41;32,45
"240060 Almino Afonso";5347;131,84;-37,76;-6,15;40,56
"240070 Alto do Rodrigues";9010;206,52;-36,76;-5,28;43,63
"240080 Angicos";11223;805,98;-36,60;-5,66;13,92
"240090 Antônio Martins";7090;250,48;-37,90;-6,21;28,31
"240100 Apodi";30414;1549,40;-37,79;-5,66;19,63
"240110 Areia Branca";20674;372,56;-37,13;-4,95;55,49
"240120 Arês";11375;115,37;-35,16;-6,19;98,60
"240130 Augusto Severo";9372;852,48;-37,31;-5,86;10,99
"240140 Baía Formosa";7336;249,05;-35,00;-6,36;29,46
"240145 Baraúna";17195;889,10;-37,61;-5,08;19,34
"240150 Barcelona";3884;152,26;-35,92;-5,95;25,51
"240160 Bento Fernandes";4614;335,18;-35,82;-5,69;13,77
"240165 Bodó";2521;247,33;-36,41;-5,98;10,19
"240170 Bom Jesus";8395;130,17;-35,58;-5,98;64,49
"240180 Brejinho";9541;58,57;-35,35;-6,19;162,90
"240185 Caiçara do Norte";6317;295,88;-35,95;-5,09;21,35
"240190 Caiçara do Rio do Vento";2617;281,48;-35,99;-5,76;9,30
"240200 Caicó";52019;1215,14;-37,09;-6,45;42,81
"240210 Campo Redondo";9248;238,36;-36,18;-6,24;38,80
"240220 Canguaretama";24128;279,08;-35,12;-6,38;86,46
"240230 Caraúbas";20367;1095,18;-37,55;-5,79;18,60
"240240 Carnaúba dos Dantas";6156;245,17;-36,59;-6,55;25,11
"240250 Carnaubais";7871;529,38;-36,83;-5,34;14,87
"240260 Ceará-Mirim";57983;726,34;-35,42;-5,63;79,83
"240270 Cerro Corá";10312;400,85;-36,34;-6,04;25,73
"240280 Coronel Ezequiel";5370;202,90;-36,21;-6,38;26,47
"240290 Coronel João Pessoa";4484;118,26;-38,44;-6,26;37,92
"240300 Cruzeta";7954;288,44;-36,79;-6,41;27,58
"240310 Currais Novos";40586;883,31;-36,51;-6,26;45,95
"240320 Doutor Severiano";6317;118,17;-38,37;-6,09;53,46
"240325 Parnamirim";86177;126,08;-35,26;-5,91;683,51
"240330 Encanto";4659;124,49;-38,30;-6,11;37,42
"240340 Equador";5618;312,00;-36,71;-6,94;18,01
"240350 Espírito Santo";9186;157,31;-35,30;-6,33;58,39
"240360 Extremoz";17814;134,70;-35,30;-5,70;132,25
"240370 Felipe Guerra";5734;282,11;-37,68;-5,60;20,33
"240375 Fernando Pedroza";2682;323,65;-36,53;-5,69;8,29
"240380 Florânia";8919;507,33;-36,81;-6,12;17,58
"240390 Francisco Dantas";3001;187,08;-38,11;-6,07;16,04
"240400 Frutuoso Gomes";4539;69,84;-37,84;-6,15;64,99
"240410 Galinhos";1435;331,95;-36,27;-5,09;4,32
"240420 Goianinha";16739;179,91;-35,21;-6,26;93,04
"240430 Governador Dix-Sept Rosado";11218;1263,39;-37,52;-5,45;8,88
"240440 Grossos";7427;138,28;-37,15;-4,98;53,71
"240450 Guamaré";8546;277,41;-36,32;-5,10;30,81
"240460 Ielmo Marinho";9275;313,40;-35,55;-5,82;29,59
"240470 Ipanguaçu";11567;365,97;-36,85;-5,49;31,61
"240480 Ipueira";1787;171,32;-37,19;-6,81;10,43
"240485 Itajá";4889;203,53;-36,87;-5,64;24,02
"240490 Itaú";5424;123,89;-37,99;-5,84;43,78
"240500 Jaçanã";7002;58,15;-36,20;-6,42;120,41
"240510 Jandaíra";5877;426,42;-36,12;-5,35;13,78
"240520 Janduís";6005;351,13;-37,40;-6,01;17,10
"240530 Januário Cicco";7087;172,83;-35,60;-6,15;41,01
"240540 Japi";6302;199,80;-35,94;-6,46;31,54
"240550 Jardim de Angicos";2516;245,34;-35,96;-5,65;10,26
"240560 Jardim de Piranhas";10510;372,55;-37,35;-6,37;28,21
"240570 Jardim do Seridó";11886;378,85;-36,77;-6,58;31,37
"240580 João Câmara";34115;794,85;-35,82;-5,53;42,92
"240590 João Dias";2375;78,48;-37,79;-6,27;30,26
"240600 José da Penha";5445;95,80;-38,28;-6,31;56,84
"240610 Jucurutu";17044;962,21;-37,02;-6,03;17,71
"240620 Lagoa d'Anta";5091;98,90;-35,59;-6,39;51,48
"240630 Lagoa de Pedras";6218;121,12;-35,43;-6,14;51,34
"240640 Lagoa de Velhos";2165;112,12;-35,87;-6,00;19,31
"240650 Lagoa Nova";10891;136,71;-36,46;-6,09;79,66
"240660 Lagoa Salgada";6508;69,48;-35,49;-6,13;93,67
"240670 Lajes";8857;665,66;-36,24;-5,70;13,31
"240680 Lajes Pintadas";4315;130,16;-36,11;-6,15;33,15
"240690 Lucrécia";3065;27,42;-37,81;-6,12;111,78
"240700 Luís Gomes";8871;180,76;-38,38;-6,41;49,08
"240710 Macaíba";46655;489,84;-35,35;-5,85;95,25
"240720 Macau";24378;746,92;-36,63;-5,11;32,64
"240725 Major Sales";2840;33,89;-38,32;-6,40;83,80
"240730 Marcelino Vieira";8067;322,91;-38,16;-6,29;24,98
"240740 Martins";7556;170,55;-37,91;-6,08;44,30
"240750 Maxaranguape";6593;131,11;-35,26;-5,51;50,29
"240760 Messias Targino";3532;144,52;-37,51;-6,07;24,44
"240770 Montanhas";10134;64,89;-35,28;-6,48;156,17
"240780 Monte Alegre";16303;210,06;-35,33;-6,06;77,61
"240790 Monte das Gameleiras";2749;93,14;-35,78;-6,44;29,51
"240800 Mossoró";205822;2099,76;-37,34;-5,18;98,02
"240810 Natal";656037;169,12;-35,20;-5,79;3879,12
"240820 Nísia Floresta";15817;312,24;-35,20;-6,09;50,66
"240830 Nova Cruz";31992;282,17;-35,43;-6,47;113,38
